steps,avg_loss
103,4.0190321305944225
104,4.061240571486736
105,3.94001262002694
106,4.083221176482442
107,3.939065294111148
108,3.7397309601719
109,3.869707420668321
110,4.0969557169879804
111,3.998723539753251
112,3.908870868831322
113,3.683034628918295
114,3.9731635719682843
115,4.011484043044814
116,3.940028665854167
117,3.9431569441611005
118,3.9166011432828727
119,3.9835161954680514
120,4.115698172087796
121,3.973033362577895
122,3.922790642836592
123,3.9144938438948342
124,3.944039370969711
125,3.8112531328359474
126,3.852340513938965
127,4.019372660779274
128,3.9310879128633474
129,3.8598893432652437
130,3.8361570638775078
131,3.820348176444875
132,4.008269049970119
133,3.9428395044573774
134,4.08174700848561
135,3.893649807473074
136,4.018118278529619
137,3.9551267272671864
138,3.9180458884215192
139,3.898424897043855
140,3.9286794513542524
141,3.9337976748873844
142,4.063061219798998
143,3.897930130227605
144,3.7833534004921434
145,3.948863212162877
146,3.9384009762542824
147,3.9061967516503513
148,3.8615727141563903
149,3.8573928489622427
150,3.8593769760816863
151,3.9562742193246323
152,3.8632755734401885
153,3.9859131963252614
154,3.9266101400661526
155,3.986149683448306
156,3.9778063980584193
157,3.892062844092442
158,3.7716023858959886
159,3.9060156402053723
160,3.9518141362099897
161,4.043778427300319
162,3.9131971448681986
163,3.887193269301213
164,3.8998911863287753
165,3.720964424460347
166,3.766324891721324
167,4.018627856133809
168,3.889196501441552
169,3.8024317847110565
170,3.575983882993067
171,3.932662565890458
172,3.7998032879892123
173,3.899263478291688
174,3.9639157537755993
175,3.810668968691792
176,3.874341554116094
177,3.9797142217116765
178,4.057222984269259
179,4.006258719322775
180,3.845630018806186
181,3.7511546621860012
182,3.5649017973212223
183,3.867803553757234
184,4.076060738060932
185,3.893468150606214
186,3.6289233335122146
187,3.9749041079759864
188,3.867424647416237
189,3.8207629344564262
190,3.9388862782269336
191,3.9993240056306596
192,3.9401731163434475
193,4.007409778125728
194,3.784018594338556
195,3.9504527962360987
196,3.841415431448193
197,3.872083730375519
198,3.892366636932293
199,3.748521444627844
200,3.974861635114503
201,4.04651578520266
202,3.866593068280121
203,3.721662213917741
204,3.828120025098284
205,3.854217963186231
206,3.8704585993987295
207,3.7177303449256143
208,4.044850843698545
209,3.997180348672925
210,3.7208553164321456
211,3.8505411032218135
212,4.0037051697385735
213,3.7753689007816336
214,3.9373141786919006
215,3.9347535841854033
216,3.96015980424894
217,3.890152535169352
218,3.7576345842692107
219,3.6923922144742236
220,3.765107271899775
221,3.9962725462319866
222,3.7817123969992243
223,3.659168287170125
224,3.86073403904361
225,3.9380640194661054
226,3.7717113525295884
227,3.802317511782762
228,3.863197377099913
229,3.8016096155134074
230,3.989735054822229
231,3.780437198456718
232,3.749910559102073
233,3.9228598087498825
234,3.613570294824359
235,3.8158265217259144
236,3.7281796193202323
237,3.982917822153562
238,3.831329226753919
239,3.886101499576178
240,3.89385308101766
241,3.9920895444054567
242,4.026617852005943
243,3.9377490420517254
244,3.8542228769040205
245,3.8644686856588457
246,3.863947364050238
247,3.9530133199163124
248,3.864697290038489
249,3.743936117455302
250,3.7928337628928084
251,3.8866395989656106
252,4.013249903917472
253,3.8935321340934537
254,3.829186585013332
255,3.9484433701528396
256,4.076996884277319
257,3.891447674905659
258,3.802909180860476
259,3.9377721048143868
260,3.8875987875032734
261,3.8908530831009203
262,3.9209822898858513
263,3.845397163167816
264,3.831260759377847
265,3.950143278039576
266,3.9607674847781267
267,3.7494541573594207
268,3.9732022779083955
269,3.834891320035511
