steps,avg_loss
120,3.9144217371347443
121,3.921508245133623
122,3.9000975436589504
123,3.983360178390046
124,4.026758947634099
125,4.023517741209271
126,3.920000513458379
127,3.961677711816113
128,4.022456900963566
129,3.9330116743590815
130,4.004779588455283
131,3.92877208928918
132,3.9636236714312902
133,3.9882325869962982
134,4.02132935817405
135,3.9688457456941038
136,3.8522165772723524
137,3.8809807965727776
138,3.8648076516234537
139,3.8267194353361136
140,4.006158472058463
141,3.8040486267703484
142,4.038235476797262
143,4.019959229665107
144,3.8893248979159596
145,3.831889669926819
146,3.8847894630262645
147,3.995070754939479
148,3.945959564001197
149,3.9291031145655344
150,3.9407738066884113
151,4.068558184806256
152,3.8381364842570385
153,3.9219848443082874
154,4.008096557438661
155,3.972190284770447
156,3.95852562945676
157,3.8714278841723653
158,3.9128532914795633
159,3.7755574301535537
160,3.7274113594214695
161,3.98849891567708
162,3.9734599980167347
163,4.007380442643876
164,3.7154246212039927
165,4.001594441963039
166,3.890135973121942
167,3.925249104177073
168,3.899826757765215
169,3.919709940444644
170,3.8500385402642707
171,3.938570747288344
172,3.950422690868033
173,3.7822978429559613
174,4.004382986615097
175,3.8421496087007005
176,4.0404435354023445
177,3.8844381542926447
178,3.999562504781815
179,3.8459133217525228
180,4.0251833012186715
181,3.919613346733608
182,3.903614151420905
183,3.9030351979737063
184,3.7360546553620586
185,3.6941835165410573
186,3.8824472126583016
187,3.875604307857516
188,3.958535304641573
189,3.8094946437624086
190,3.93255949682316
191,3.935879694651656
192,3.8721502249446154
193,3.818351638920783
194,3.730584413842668
195,4.028301558468743
196,3.9475339575229755
197,3.92642091858792
198,3.966991725437782
199,3.855609337298368
200,3.968487112081496
201,3.879283211950817
202,3.9327299324565113
203,3.8583936437525894
204,3.9871413152164195
205,4.017397487312556
206,3.7852872478120005
207,3.806126406930363
208,3.908279701767877
209,4.042807885040061
210,3.73654420675051
211,3.9734468464778714
212,3.9880368966214044
213,3.4880474492165576
214,3.794229390381969
215,3.949500960748235
216,3.8601027910170425
217,3.874353024004775
218,3.9583919730866852
219,3.8386918978255054
220,4.060247661081326
221,3.834682865882793
222,3.810239161850409
223,3.799033311502336
224,3.9215001809360794
225,3.8889891589064063
226,3.9975967331597437
227,3.8602675685376395
228,3.9520666831054925
229,3.7407284619637897
230,3.9700739595480443
231,3.985276643574052
232,3.973747717801558
233,3.8649605474971622
234,3.87884280300741
235,3.956571177499149
236,3.9962118097982056
237,3.922134400359981
238,3.8799039224897953
239,3.8385072304809036
240,4.062288702719217
241,3.9274954666873
242,3.9173261989608754
243,3.765602556357712
244,3.898368480917321
245,3.8058731149894434
246,3.753897533666142
247,3.8721317287470973
248,3.8233915427166587
249,4.010023658263484
250,3.982693230873301
251,3.877220367654123
252,4.034941089507223
253,3.9476649192325675
254,3.819255656625272
255,3.8151108646757246
256,3.8280518978283795
257,3.976243116261658
258,3.8382113219064835
259,3.8338879555239034
260,3.6993490593902267
261,3.8965998630541785
262,4.024551565825699
263,3.8398775815783734
264,3.903741312974372
265,3.8979119860406435
266,3.843982027894389
267,3.869960857057201
268,3.936816472892057
269,3.745542011145249
270,3.9461419721123328
271,3.775003618473683
272,3.950117298173936
273,3.7072199372914674
274,3.6952249486648854
275,3.904547552129172
276,3.828573247432132
277,3.804323503469173
278,3.698487589824039
279,3.901243347350545
280,3.884664448488239
281,3.799909513348129
282,4.020528573834783
283,3.759743964967563
284,3.8064917138360466
285,3.857492067010731
286,3.8021995430614597
287,3.8986928682763797
288,3.96956128022608
289,3.991183110708474
290,3.973617226035467
291,3.7880223088799374
292,3.836500687261945
293,3.8571038186201188
294,3.7474009233612824
295,3.9325991184106357
296,3.7208969161694094
297,4.058054622695063
298,3.7465397546999335
299,4.025629449421787
300,3.8223032996001285
301,3.7794836592325134
302,4.023674208049713
303,3.849020376470051
304,3.893373382332436
305,4.002334415460542
306,3.870361761696324
307,3.9051289817067953
308,3.9641998732864208
309,3.8494213462511255
310,3.8682929659519814
311,3.9774426081181202
312,3.834857420340672
313,3.7772665600144535
314,3.8498952386161145
315,3.9028864656095847
316,3.9943622641516257
317,3.877584358960919
318,3.939744893669925
319,3.9388727386281146
320,3.7490879286477807
321,3.6968804440065113
322,3.821400637660594
323,3.9024383312837614
324,3.8710531325476913
325,3.679903668445847
326,3.944342066967206
327,3.932829378068738
328,3.842223562454663
329,3.8289923616761223
330,3.8705058484475323
331,3.6858985846077514
332,3.9638307898484166
333,3.874035817570861
334,3.9731356075370408
335,3.7528317153335577
336,3.8310289248704272
337,3.8506327870761203
338,3.8900591427386857
339,3.9608046702145465
340,3.936219738253622
341,3.9994043947667173
342,3.9179682880073434
