steps,avg_loss
120,4.065844535827637
121,4.013422012329102
122,4.063073301315308
123,3.972172260284424
124,3.9736602306365967
125,3.9845883369445803
126,3.9971137046813965
127,4.046565532684326
128,4.061308860778809
129,3.9586434364318848
130,4.009871006011963
131,4.0358581540789515
132,3.9359939098358154
133,4.03074970223569
134,4.077129364013672
135,4.005536079188815
136,3.996361184120178
137,4.015194344520569
138,4.003151494521587
139,3.9965688228607177
140,3.9424579620361326
141,3.906606674194336
142,3.977487087249756
143,3.9834227561950684
144,3.944574488257777
145,3.972496747970581
146,4.073039531707764
147,4.056154251098633
148,4.012362957000732
149,3.9540984630584717
150,4.000751972198486
151,4.061153507014742
152,3.9273446798324585
153,3.9111730337142943
154,3.945180166816127
155,4.053236048808063
156,4.087861394664278
157,4.079682397842407
158,4.086195468902588
159,4.105957508087158
160,3.936965084075928
161,3.9875121831893923
162,3.9084133863449098
163,4.016280174255371
164,3.8964569568634033
165,3.8866209983825684
166,3.972841739654541
167,3.9922031400408655
168,4.000818586349487
169,4.07341947555542
170,4.075894832611084
171,3.971252918243408
172,4.00926016652191
173,3.9330337047576904
174,3.950303554534912
175,3.895527661895167
176,3.958176159640781
177,3.9195846796035765
178,3.937513828277588
179,4.006429076194763
180,4.065633249064914
181,3.9615516662597656
182,3.930040645599365
183,4.050605940382941
184,3.9277596473693848
185,3.952662229537964
186,3.915428638458252
187,3.9160261869430544
188,4.022030734797946
189,4.0551226613726525
190,3.9261016845703125
191,3.998278474589816
192,4.049853801727295
193,4.008949875831604
194,3.916344165802002
195,4.063088417053223
196,4.010569930076599
197,4.011501359939575
198,4.060087203979492
199,3.973546266555786
200,4.135441827774048
201,3.973456621170044
202,4.096482753753662
203,4.054809093475342
204,4.071423506736755
205,4.035463333129883
206,4.001395797729492
207,3.941729712486267
208,4.040924471011127
209,4.070553779602051
210,3.9814090728759766
211,4.098980855941773
212,3.9994087693896203
213,4.009138584136963
214,3.945554256439209
215,3.913323974609375
216,3.969529628753662
217,4.057864778628315
218,3.951695680618286
219,3.9864644527435305
220,3.9488922357559204
221,3.951999044418335
222,3.9669981718063356
223,4.0814528465271
224,3.964266800880432
225,4.012836933135986
226,3.871278405189514
227,4.0340352058410645
228,3.9705634117126465
229,3.9605205059051514
230,4.046919345855713
231,4.102267265319824
232,3.9832234382629395
233,3.9316439628601074
234,4.000237560054293
235,3.984055685997009
236,3.9893737554550173
237,4.044412517547608
238,3.8868300914764404
239,3.9720606803894043
240,3.990363597869873
241,3.9365181922912598
242,3.962982177734375
243,3.9757938146591187
244,3.988404631614685
245,3.9173514366149904
246,3.966740679740906
247,4.023616313934326
248,4.114297454943623
249,3.9894643783569337
